Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,1155.349976,1156.810059,1131.359985,1134.420044,1134.420044,2932800
2018-03-19,1117.760010,1119.369995,1088.920044,1100.069946,1100.069946,3182800
2018-03-20,1098.400024,1105.550049,1082.420044,1095.800049,1095.800049,2729900
2018-03-21,1092.569946,1108.699951,1087.209961,1094.000000,1094.000000,2244900
2018-03-22,1080.010010,1083.920044,1049.640015,1053.150024,1053.150024,3465600
2018-03-23,1051.369995,1066.780029,1024.869995,1026.550049,1026.550049,2494000
2018-03-26,1050.599976,1059.270020,1010.580017,1054.089966,1054.089966,3299200
2018-03-27,1063.900024,1064.540039,997.619995,1006.940002,1006.940002,3040800
2018-03-28,1001.909973,1024.989990,984.000000,1005.179993,1005.179993,3884900
2018-03-29,1011.210022,1048.050049,1004.039978,1037.140015,1037.140015,3466900
2018-04-02,1027.619995,1039.530029,994.250000,1012.630005,1012.630005,3253400
2018-04-03,1016.150024,1025.000000,997.250000,1018.679993,1018.679993,2566100
2018-04-04,998.229980,1032.739990,996.510010,1029.709961,1029.709961,2536200
2018-04-05,1046.390015,1046.709961,1024.000000,1032.640015,1032.640015,1791800
2018-04-06,1023.099976,1036.000000,1006.250000,1009.950012,1009.950012,2006700
2018-04-09,1020.039978,1044.589966,1019.200012,1020.090027,1020.090027,1661000
2018-04-10,1030.260010,1041.209961,1015.409973,1036.500000,1036.500000,1831000
2018-04-11,1032.000000,1035.869995,1019.200012,1025.060059,1025.060059,1703000
2018-04-12,1031.469971,1044.650024,1026.050049,1037.290039,1037.290039,1644800
2018-04-13,1046.890015,1052.979980,1030.150024,1036.040039,1036.040039,1217300
2018-04-16,1045.550049,1051.429443,1033.920044,1048.479980,1048.479980,916890
